objectid,filename,title,creator,date,subject,notes,condition,format original,format,type,identifier,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
tees_2000_001_001,tees_2000_001_001.jpg,Come to Camp Nowanaweene with Sue Fink,June L Mazer Lesbian Archives,,"Summer Camp,Music","Signed by Sue Fink to Mary and Kathy Fink

Duplicate without signature or cut neckline: tees_2000_009_026",Frayed neck,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_001,,test Rights,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_001.JPG,objects/small/tees_2000_001_001_sm.jpg,objects/thumbs/tees_2000_001_001_th.jpg,Test Alt Text,Test Transcript
tees_2000_001_002,tees_2000_001_002.jpg,Salon 82-83,June L Mazer Lesbian Archives,1984,,,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_002,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_002.JPG,objects/small/tees_2000_001_002_sm.jpg,objects/thumbs/tees_2000_001_002_th.jpg,,
tees_2000_001_003,tees_2000_001_003.jpg,Holly Near On Tour for a Nuclear Free Future Boston 82,June L Mazer Lesbian Archives,1983,"Music,Anti-Nuclear,Holly Near",,"holes,stains,Faded",T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_003,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_003.JPG,objects/small/tees_2000_001_003_sm.jpg,objects/thumbs/tees_2000_001_003_th.jpg,,
tees_2000_001_004,tees_2000_001_004.jpg,Sonoma County Womyn's Music Festival 1983,June L Mazer Lesbian Archives,1984,"Music,Sonoma County,Festival,Michigan Womyn's Music Festivall",,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_004,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_004.JPG,objects/small/tees_2000_001_004_sm.jpg,objects/thumbs/tees_2000_001_004_th.jpg,,
tees_2000_001_005,tees_2000_001_005.jpg,"Rhythm Fest Women's Music, Art, and Politics",June L Mazer Lesbian Archives,,"Music,Rhythm Fest",,stains,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_005,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_005.JPG,objects/small/tees_2000_001_005_sm.jpg,objects/thumbs/tees_2000_001_005_th.jpg,,
tees_2000_001_006,tees_2000_001_006.jpg,Out and About on Broadway,June L Mazer Lesbian Archives,,Marches,,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_006,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_006.JPG,objects/small/tees_2000_001_006_sm.jpg,objects/thumbs/tees_2000_001_006_th.jpg,,
tees_2000_001_007,tees_2000_001_007.jpg,Los Angeles Music Dance Art by Gravity Graphics,June L Mazer Lesbian Archives,,"Music,AIDS","Pink triangle graphic
",Faded,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_007,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_007.JPG,objects/small/tees_2000_001_007_sm.jpg,objects/thumbs/tees_2000_001_007_th.jpg,,
tees_2000_001_008,tees_2000_001_008.jpg,Best of Times Judy Fjell with Crystal Reeves,June L Mazer Lesbian Archives,1984,Music,,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_008,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_008.JPG,objects/small/tees_2000_001_008_sm.jpg,objects/thumbs/tees_2000_001_008_th.jpg,,
tees_2000_001_009,tees_2000_001_009.jpg,Rhythm Fest Women's Music Art and Politics 1991 by Karen Marie Porter,June L Mazer Lesbian Archives,1992,"Karen Marie Porter,Rhythm Fest",,stains,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_009,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_009.JPG,objects/small/tees_2000_001_009_sm.jpg,objects/thumbs/tees_2000_001_009_th.jpg,,
tees_2000_001_010,tees_2000_001_010.jpg,"Pride Wo/Men's Alliance for Medical Marijuana Santa Cruz, CA",June L Mazer Lesbian Archives,2000,"Jean Hanamoto,Marijuana,Pride",garlic.com/-artworks/marijuana_art,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_010,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_010.JPG,objects/small/tees_2000_001_010_sm.jpg,objects/thumbs/tees_2000_001_010_th.jpg,,
tees_2000_001_011,tees_2000_001_011.jpg,Michigan Womyn's Music Festival August 12-17 1997,June L Mazer Lesbian Archives,1997,"Music,Michigan Womyn's Music Festivall",,stains,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_011,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_011.JPG,objects/small/tees_2000_001_011_sm.jpg,objects/thumbs/tees_2000_001_011_th.jpg,,
tees_2000_001_012,tees_2000_001_012.jpg,27 Michigan!,June L Mazer Lesbian Archives,,"Music,Michigan Womyn's Music Festivall",,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_012,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_012.JPG,objects/small/tees_2000_001_012_sm.jpg,objects/thumbs/tees_2000_001_012_th.jpg,,
tees_2000_001_013,tees_2000_001_013.jpg,Cris Williamson,June L Mazer Lesbian Archives,,"Music,Cris Williamson",,good,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_013,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_013.JPG,objects/small/tees_2000_001_013_sm.jpg,objects/thumbs/tees_2000_001_013_th.jpg,,
tees_2000_001_014,tees_2000_001_014.jpg,Feminism 101 on Tour for NWSA Holly Near with Adrienne Torf,June L Mazer Lesbian Archives,,"Camille Rendal,National Women's Studies Association,Holly Near",,stains,T-Shirt,image/jpeg,Image/Still Image,tees_2000_001_014,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright.",display_template,objects/tees_2000_001_014.JPG,objects/small/tees_2000_001_014_sm.jpg,objects/thumbs/tees_2000_001_014_th.jpg,,
